District Court Judges,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
State and Court,Court Abbreviation,Judge Name,Appointment Year,Appointing President,Partisanship,Birth Year,Age,Years Served,Rule of 80,Eligible for Senior Status,Date Eligibile for Senior Status,Senior Status,Announce Retirement,Confirmation Vote,Chief,Link to Vote,Court Website,Notes
District of New Jersey,NJ,Christine O'Hearn,2021,Biden,D,1969,54,2,56,No,2047,No,No,,No,,,
District of New Jersey,NJ,Karen M. Williams,2021,Biden,D,1963,60,2,62,No,2041,No,No,,No,,,
District of New Jersey,NJ,Georgette Castner,2022,Biden,D,1979,44,1,45,No,2058,No,No,,No,,,
District of New Jersey,NJ,Evelyn Padin,2022,Biden,D,1960,63,1,64,No,2039,No,No,,No,,,
District of New Jersey,NJ,Michael E. Farbiarz,2023,Biden,D,1973,50,0,50,No,2053,No,No,,No,,,
District of New Jersey,NJ,Robert Kirsch,2023,Biden,D,1966,57,0,57,No,2046,No,No,,No,,,
District of New Jersey,NJ,Jamel K. Semper,2023,Biden,D,1981,42,0,42,No,2061,No,No,,No,,,
Eastern District of Pennsylvania,PA-E,Chief Judge Juan R. Sánchez,2004,G.W. Bush,R,1955,68,19,87,Yes,2020,No,No,,Yes,,,
Eastern District of Pennsylvania,PA-E,Gene E. K. Pratter,2004,G.W. Bush,R,1949,74,19,93,Yes,2014,No,No,,No,,,
Eastern District of Pennsylvania,PA-E,Paul S. Diamond,2004,G.W. Bush,R,1953,70,19,89,Yes,2018,No,No,,No,,,
Eastern District of Pennsylvania,PA-E,Mitchell S. Goldberg,2008,G.W. Bush,R,1959,64,15,79,No,2024,No,No,,No,,,
Eastern District of Pennsylvania,PA-E,Nitza I. Quiñones Alejandro,2013,Obama,D,1951,72,10,82,Yes,2021,No,No,,No,,,
Eastern District of Pennsylvania,PA-E,Jeffrey L. Schmehl,2013,Obama,D,1955,68,10,78,No,2025,No,No,,No,,,
Eastern District of Pennsylvania,PA-E,Gerald A. McHugh,2014,Obama,D,1954,69,9,78,No,2025,No,No,,No,,,
Eastern District of Pennsylvania,PA-E,Wendy Beetlestone,2014,Obama,D,1961,62,9,71,No,2032,No,No,,No,,,
Eastern District of Pennsylvania,PA-E,Mark A. Kearney,2014,Obama,D,1962,61,9,70,No,2033,No,No,,No,,,
Eastern District of Pennsylvania,PA-E,Gerald J. Pappert,2014,Obama,D,1963,60,9,69,No,2034,No,No,,No,,,
Eastern District of Pennsylvania,PA-E,"Joseph F. Leeson, Jr.",2014,Obama,D,1955,68,9,77,No,2026,No,No,,No,,,
Eastern District of Pennsylvania,PA-E,Chad F. Kenney,2018,Trump,R,1955,68,5,73,No,2030,No,No,,No,,,
Eastern District of Pennsylvania,PA-E,Joshua D. Wolson,2019,Trump,R,1974,49,4,53,No,2050,No,No,,No,,,
Eastern District of Pennsylvania,PA-E,John Milton Younge,2019,Trump,R,1955,68,4,72,No,2031,No,No,,No,,,
Eastern District of Pennsylvania,PA-E,Karen S. Marston,2019,Trump,R,1968,55,4,59,No,2044,No,No,,No,,,
Eastern District of Pennsylvania,PA-E,John M. Gallagher,2019,Trump,R,1966,57,4,61,No,2042,No,No,,No,,,
Eastern District of Pennsylvania,PA-E,Mia Roberts Perez,2022,Biden,D,1981,42,1,43,No,2060,No,No,,No,,,
Eastern District of Pennsylvania,PA-E,Kelley Brisbon Hodge,2022,Biden,D,1971,52,1,53,No,2050,No,No,,No,,,
Eastern District of Pennsylvania,PA-E,John F. Murphy,2022,Biden,D,1977,46,1,47,No,2056,No,No,,No,,,
Eastern District of Pennsylvania,PA-E,Kai N. Scott,2023,Biden,D,1970,53,0,53,No,2050,No,No,,No,,,
Middle District of Pennsylvania,PA-M,Matthew W. Brann,2012,Obama,D,1965,58,11,69,No,2034,No,No,,Yes,,,
Middle District of Pennsylvania,PA-M,Christopher C. Conner,2002,G.W. Bush,R,1957,66,21,87,Yes,2022,No,No,,No,,,
Middle District of Pennsylvania,PA-M,Malachy E. Mannion,2012,Obama,D,1953,70,11,81,Yes,2022,No,Yes,,No,,,
Middle District of Pennsylvania,PA-M,Jennifer P. Wilson,2019,Trump,R,1975,48,4,52,No,2051,No,No,,No,,,
Middle District of Pennsylvania,PA-M,Julia K. Munley,2023,Biden,D,1965,58,0,58,No,2045,No,No,,No,,,
Western District of Pennsylvania,PA-W,Mark R. Hornak,2011,Obama,D,1956,67,12,79,No,2024,No,No,,Yes,,,
Western District of Pennsylvania,PA-W,Cathy Bissoon,2011,Obama,D,1968,55,12,67,No,2036,No,No,,No,,,
Western District of Pennsylvania,PA-W,Susan Paradise Baxter,2018,Trump,R,1956,67,5,72,No,2031,No,No,,No,,,
Western District of Pennsylvania,PA-W,Marilyn Horan,2018,Trump,R,1954,69,5,74,No,2029,No,No,,No,,,
Western District of Pennsylvania,PA-W,Nicholas Ranjan,2019,Trump,R,1978,45,4,49,No,2054,No,No,,No,,,
Western District of Pennsylvania,PA-W,William S. Stickman IV,2019,Trump,R,1979,44,4,48,No,2055,No,No,,No,,,
Western District of Pennsylvania,PA-W,Stephanie L. Haines,2019,Trump,R,1969,54,4,58,No,2045,No,No,,No,,,
Western District of Pennsylvania,PA-W,Robert J. Colville,2019,Trump,R,1965,58,4,62,No,2041,No,No,,No,,,
Western District of Pennsylvania,PA-W,W. Scott Hardy,2020,Trump,R,1971,52,3,55,No,2048,No,No,,No,,,
Western District of Pennsylvania,PA-W,Christy C. Wiegand,2020,Trump,R,1975,48,3,51,No,2052,No,No,,No,,,
District of Delaware,DE,Colm Connolly,2018,Trump,R,1964,59,5,64,No,2039,No,No,,Yes,,,
District of Delaware,DE,Richard G. Andrews,2011,Obama,D,1955,68,12,80,No,2023,No,No,,No,,,
District of Delaware,DE,Maryellen Noreika,2018,Trump,R,1966,57,5,62,No,2041,No,No,,No,,,
District of Delaware,DE,Gregory B. Williams,2022,Biden,D,1969,54,1,55,No,2048,No,No,,No,,,
District of Delaware,DE,Jennifer L. Hall,2024,Biden,D,1976,47,-1,46,No,2057,No,No,,No,,,
District of Maryland,MD,James K. Bredar,2010,Obama,D,1957,66,13,79,No,2024,No,Yes,,Yes,,,
District of Maryland,MD,George L. Russell III,2012,Obama,D,1965,58,11,69,No,2034,No,No,,No,,,
District of Maryland,MD,Theodore D. Chuang,2014,Obama,D,1969,54,9,63,No,2040,No,No,,No,,,
District of Maryland,MD,Paula Xinis,2016,Obama,D,1968,55,7,62,No,2041,No,No,,No,,,
District of Maryland,MD,Stephanie A. Gallagher,2019,Trump,R,1972,51,4,55,No,2048,No,No,,No,,,
District of Maryland,MD,Deborah Boardman,2021,Biden,D,1974,49,2,51,No,2052,No,No,,No,,,
District of Maryland,MD,Lydia Kay Griggsby,2021,Biden,D,1968,55,2,57,No,2046,No,No,,No,,,
District of Maryland,MD,Julie Rubin,2022,Biden,D,1972,51,1,52,No,2051,No,No,,No,,,
District of Maryland,MD,Brendan A. Hurson,2023,Biden,D,1977,46,0,46,No,2057,No,No,,No,,,
